id;time;pos_x;pos_y;pos_z;wind_speed;wind_direction
1;2025-03-25T09:06:34;23689;8221;5897;27995;比较 抿
2;2025-03-25T20:07:33;28172;6557;5556;1063;simple 挖 几乎
3;2025-03-25T04:26:36;14387;12970;28418;7766;逐渐
4;2025-03-25T11:27:21;18955;27101;6222;11742;likewise boohoo
5;2025-03-25T03:58:42;26618;9611;16733;14021;if 驾驶 吮
6;2025-03-25T14:00:44;20427;21628;3826;19768;how
7;2025-03-25T20:31:58;4152;7396;19741;26648;做 how though
8;2025-03-25T21:31:54;4551;24686;2560;7282;ugh
9;2025-03-25T21:32:08;18967;18341;14817;3315;or which
10;2025-03-25T13:20:45;32626;14206;27129;2289;拣
